pair,hook1_type,hook1_tail_quote,hook2_type,hook2_tail_quote
CH0185+CH0186,crisis,城出现问题，他便将这两位派去协助处理。 却没想到现在已经过去十多天了，居然一点消息也没有。 “报。”此时另外一名近卫急速赶到，将手上的一份信件双手奉上。“环佩城急件！” 路胜伸手将信件接过，展开看了几眼。才看完信上内容，他面色一下便阴下来。,reversal,哦？？”路胜忽然一愣，他似乎在什么地方看到过类似的样子。 是在茶帮。 他回想起来，那面镜子…… “你有没有听说过，一面背后刻着凤凰，狐狸，和猫的镜子？”路胜缓缓轻声道。 “凤凰，狐狸和猫？你……不会说的是一面琉璃镜吧？”红坊白忽然睁大眼睛。
CH0187+CH0188,question,他见过路胜，知道此人如巨枭，行事肆无忌惮，极其直接残暴。加上此处也在北地境内，在这里要是惹得这位路大帮主不高兴，那结果不言而喻。 真要这两位对上，他不觉得路胜会输。 “不管怎么说，这两位都是我们惹不起的大人物，不要去招惹就是。”颜开低声道。,crisis,看。 “你们信吗？还有这种传说？” 宁三倒是认真考虑了下。 “属下认为，极可能是真的。这不笑主人既然传出了这样的规矩和名声，那就意味着，必然有人从他手下活下来过，所以才有这传闻传出来。” “有道理。”路胜点头。 周围其余人也都纷纷点头赞同。
CH0189+CH0190,reversal,路胜还是对待他很温和，还算念旧情，那么此事就有转机。 “其实不瞒胜公子，我们是跟着一个从外地来此的危险人物，来到此地。”颜开正色道。“在下师兄万和子，接了一份调查这人的悬赏，一路从东面跟来，却没想到他们也是为了这不笑传说，特地赶到这小镇。”,reversal,，用的是繁体……只有祭祀的时候，才会使用繁体，平常时候，不应该用这样的字……”他面露疑惑之色。 这欢喜村，似乎不只是不笑主人一个怪异这么简单。 “难不成，这个村子根本就不是给人住的？”宁三嘀咕了句。 路胜听到这句话，忽然脑海中闪过一个可能。
CH0191+CH0192,reversal,，蓉蓉呢？”万和子疑惑问。“刚才雾气一下子全散了，我进了门，看到这位兄台正在屋子里喝水休息，便讨要了点。然后就听到外面传出声音。” “原来大家都是避雨的啊。”那疤脸汉子也是恍然，“若不嫌弃，就都进来休息下吧，这屋子虽然脏乱，但好歹不漏雨。”,crisis,紧。她脸色发白，浑身发冷，身上汗水迅速打湿内衣。 缓缓退后两步。 啊！！ 她突然尖叫一声，猛地转身朝着大门跑去。 门外，院落正中。 路胜缓缓握住插在地上的刀，站起身。看向身后缓缓走近的高大身躯。 “等你很久了，朝龙……” 身后那人微微一顿。
CH0193+CH0194,crisis,划过，路胜抓了个空，代价是手臂上也多出一道伤口。 但诡异的是，他之前胸口的伤口，此时已经愈合得差不多了。 这次手臂中招，伤口上同时溅射出暗红色和金色火光，那不光是高速摩擦碰撞产生的高温，还有阴阳玉鹤宝瓶气本能的反震，配合血网高温带来的灼烧。,crisis,被碎石堆埋到废墟里，已经奄奄一息了。似乎是内脏出血之类的伤势。 路胜想了想，还是没让她死，这女人是个人才，能够一人之力将茶帮打理得财源滚滚，就这么死了也怪可惜。 他伸出手，按在董琪额头上，一丝丝的阴阳玉鹤宝瓶气迅速渗入其体内，看还有没有救。
CH0195+CH0196,question,一个强大的家，一个能够在自己受伤重创时，也能隐身修养的大本营。 在这个混乱危险的世界，这样的东西要想建立起来，无疑是需要强大的武力和势力。 “下次吧，等我把三圣门什么的全部弄清楚，总会有再进去的机会。”路胜看着空空如也的密室，面色沉静下来。,question,在长大形体上了，此时的她压根就是个普通人，顶多就是步法轻盈，跑得快点而已。 看到小伞女在那嘿哟嘿哟压衣服，路胜也不是故意要折磨她，而是如今他秘密越来越多，普通的侍女已经无法满足他的需求，索性就让小伞女担任这个位置。反正他也不可能放伞女离开。
CH0197+CH0198,crisis,网后，更是进步飞快，只要再过几年时间，她就能突破天元，达到新境界。 “带我去看看。”他沉声道。 “是！” 玉莲子带着路胜一路朝着赤鲸号下层，船腹处走去。那里是赤鲸帮生活区，居住着大量的帮中成员和高手长老。 几人匆匆来到一处满是药味的船舱房。,reward,流沙剑诀”、“还圣功”、“金风玉露决”、“蓝风玄武勾”、“八门皇拳”、“云煞掌”…… 一门门凝神绝学，名字都取得相当霸道，明显都寄托了创功者极大的希望，希望能够如名字一般强霸纵横。 “可惜……连天元也不过是俗世中较大的蚂蚁。”路胜微微叹息。
CH0199+CH0200,crisis,“再来！” 他再度开始按照明虚功的步法练习起来。 这练功步法有些怪异，怎么别扭怎么来。路胜腿部肌肉麻痒了五六次，反复用内气急速恢复愈合，这才慢慢掌握诀窍。 明虚功的心法和用力诀窍也很别扭，非要朝着使力最艰难的方向用劲，稍有不慎就会扭伤脚筋。,crisis,消失，没入远处风雪中。 路胜目送对方离开，沉吟片刻。 他忽然轻轻抬起脚。 轰隆！！！ 地面雪地骤然炸裂一道道裂纹，大片的雪粉炸开腾空。 以路胜为中心，方圆十数米急速蔓延开大片蛛网般裂痕。巨大的反震力带着他冲天而起，朝着白色巨狼方向紧追而去。
CH0201+CH0202,crisis,至还会阻止他出手。 “我明白了……”白狼王沉默了许久，终于还是退缩了。“你会后悔的。” “没有谁能让我后悔。”冰狐王淡淡道。“你不明白。” 白狼王冷哼一声，转身离开。 风雪中，那道人影依旧站在原地不动，只是静静望着远去的巨大白狼，没再说话。,crisis,他太强了，若是真和陈芸熙入洞房，力量控制着小心一些，也许没事，但最后关头总要结合一起生子。到那个关头，一旦出事…… “看来只能暂时不怀孕了……”路胜心头最终下了决定。 世家血脉淡化的也有和凡人结合的，这趟去中原，或许能找到这方面的解决办法。
CH0203+CH0204,question,闲聊着知晓了路胜已经婚配，但张荣氏似乎并不在意，全然把路胜当成了女儿的预备对象。 和张荣氏分开后，路胜穿过荣信关，后面的路就宽敞舒服多了，速度也快了许多。 只用了五天，车队便抵达了此行的目的地，白铃城。 而上阳九礼安排好的人手也在此久候了。,crisis,的还能看到那女子依旧看着他，一动不动。 明明她的脑袋都被白布紧紧罩住，连呼吸都困难，更别说视线，但路胜就是感觉到，对方还在看他。 “她很喜欢有新人来……习惯就好了。”宋子安低沉道。 “是吗。”路胜不再说话。这个元魔宗，似乎和他想象的不一样。
CH0205+CH0206,crisis,既有的平衡，为人类挣得一席之地。 抛开其中的歌功颂德内容，其中关于数次历史大事的记载，对路胜了解整个大宋世家史很有帮助。但是书中对所谓的大恐怖，并没有太多笔墨，都是一笔带过，似乎不是妖魔鬼怪一类。 坐在这里看书，不知不觉，便过去了数个时辰。,crisis,了那场大难后，九成以上的元魔秘术随着那些长老的身陨而失传，就只剩下他祖师传承的这一门，还完整流传下来。 支撑学派宗门的精英弟子，管事，长老，不是战死就是随着岁月流逝逐渐老去衰亡。 到最后现在，反倒是当年资质平平的他，成了元魔宗如今的最强者。
CH0207+CH0208,crisis,来。 铛……铛…… 正当他准备仔细查看分辨书页上的内容，看能否还原时，钟声响了。 呼…… 无奈之下，路胜合上书，将其放回书架原处，转身毫不犹豫朝着门外走去。 他问过师姐荷香子，这里到底有什么问题，但荷香子也不清楚，只说晚上不要呆在外面就好。,crisis,应该是单纯的相性不合，这是世家血脉更契合的剧毒雾气，他们本身就血脉中制造产生黑膜之力，黑膜之力和这黑雾应该是相性较高，所以他们受到的刺激远不如我强！” 呼…… 不得已之下，路胜只好将阴阳玉鹤宝瓶气迅速调动起来，疯狂开始运转恢复被腐蚀的肉身。
CH0209+CH0210,crisis,议道。 “可以。”大长老点头。 路胜身边的荷香子也不推辞，缓缓起身，走到场中。 “焦心，你的第四层过了没？”大长老转而又问其中一名女弟子。 “还没……” 一旁坐着的路胜，分明看到大长老眼中闪过一丝失望。这焦心是派中血脉资质仅次于飞蝗子的人。,crisis,不同，他们是未来的派主继任者，实际上就是预备派主。这需要在弟子中有极高的威望，或者是实力极强，强到能镇压一切学派反对自己的声音。” “首席，又被称为季学。有的大学派特别是上三重的有几个，会将首席季学取一个特定的称号，但大多数都是统称首席。”
CH0211+CH0212,reversal,何浮现出法徽的攻势，除开同级别存在，没人能阻挡。秘术便是对法的模仿和衍生品。但威力弱很多很多，是对法的边缘奥秘，进行解析研究后的简化版。”他在讲的，是例行的元魔宗秘术的历史来源。身为元魔宗弟子，对自家学派祖师，和学派大事记当然不能一无所知。,reversal,” “那你来学派，难道不是为了修行，只是为了看书？”大长老稍稍来了点好奇。“你的秘术不练了？” “练啊。”路胜奇怪道。“无因功我现在也到第二层了，感觉还好，蛮顺利的，就是……” “啥？第二层？？！！” 路胜话没说完，便被大长老睁大眼睛打断。
CH0213+CH0214,crisis,又要去洞口等人送来。 他通过学派特殊的飞鸟书信，可以很轻松的将信件传到赤鲸帮众手中。并得知白铃城中的情况。 斜靠在洞口，路胜望着外面灰蒙蒙的瓢泼大雨，一时间有些走神。 “想家了？”荷香子不知道什么时候，来到路胜身后，也学着他站在洞口靠着墙。,question,竟我们都是为了摆脱神兵魔刃而建立学派，落后的知识体系，需要淘汰。只有不断保持最新的学识，才能让百脉永远保持最好的活力，而不是被陈旧腐败的老体系拖进棺材。 这就是百脉会盟的来由。不断争出最强的理念。老旧的陈腐的，就让它逝去，以免徒耗自身资源。
CH0215+CH0216,crisis,阴气多寡，取决于主人的强弱程度，和寄托情感精神的时间长短。 “也就是说，这两样东西都是这里的祖师们生前最喜爱之物。”路胜心中猜测。 如今的他因为无因功达到第七层，早已对周围毒雾有了一定抗性，所以能控制着自己不牵引毒雾，这才能安静的坐在洞内。,reward,择，也只能选择鬼面决。 “阴气还有，可以继续提升。”路胜感知了下体内情况，肉身强度起码提高了两到三成。而内力似乎都受到了影响，运转速度更加晦涩艰难，但每转动一圈，产生的内气也更浓了，气液的颜色渐渐朝着微黑色转变。显然是受到了毒雾魔气的影响。
CH0217+CH0218,crisis,。 路胜紧跟在他身后，一言不发。 不知道走了多少时间，前面渐渐传来阵阵沉重的脚步声，那脚步声很奇怪，就像是金属重重的砸在地面上。 大长老没说话，路胜也不好问，既然提前说了不出声，那就一定有道理。 两人一路走过靠窗走廊，终于来到了一处侧殿中。,crisis,阻力，但这点阻力对于肉身力量强得可怕的他来说，可以忽略不计。 换成一般人来说，就算是世家子弟，学派子弟，也不一定有力气将刀重新插回去。 但对路胜而言，就根拔根牙签差不多…… “好了，该回去了。”路胜看也不看封印用的长刀，转身大踏步离开房间。
CH0219+CH0220,reward,源锐点头道。 洪清点点头，转身快步离开院落。 穿过院子，他走进侧面的花园，毫不停留的走过花园中的一道道拱门，来到一个被花丛包围的狭小角落。 到了这里他停住脚步，在这里等待了一会儿。 很快，一个面色发白，身穿素白长衣的中年文士，缓步走入角落。,reversal,门外阴影处。 只剩大长老一个人独自坐在洞中。 凉风习习，静寂无声。 良久，他缓缓站起身，仰头。 “祖师啊……”他长叹一声，一时间竟哽咽着说不出话。老泪纵横。 哧哧哧！！ 元魔宗内，一道道黑影急速闪动，如同黑夜中的蝙蝠，不断在洞壁上借力飞纵。
CH0221+CH0222,reversal,来。 路胜奔跑着，脚尖一点，整个人便如同离弦之箭，飞跃出很长一段距离。若不是因为秘道曲折弯绕，他速度还会比现在更快。 不一会儿，一扇同样的破旧黑色铁门，出现在他眼前。 铁门上什么花纹也没有，毫无装饰，就像是直接把一块铁板搬过来，当做门挡路。,crisis,结束也好。”他手中长戟高速旋转起来，尖端亮起刺目红芒。 一股巨大的威胁感陡然涌上大长老心头，他看着黑衣人此时的动作，忽然面色大变，想起了什么。 “这个标志性的起手式……难道……！！？”他嘴唇微张，浑身黑火迅速在身前形成一大团，试图阻挡对方。
CH0223+CH0224,crisis,着一个个大小不一的符号。 他所在的位置，正好可以看到不远处正在和荷香子交手的几个弟子。那都是他的弟子亲传，带出来算是锻炼见血。 至于同行的另外两个游神，都不喜欢和他待在一起。他太强了，比他们强得太多，仅仅和他站在一起，都会让人感觉都有压力。,crisis,咳咳咳。”宋子安没有说下去，便假装咳嗽。 路胜回过头，果然看到床上的大长老面色发黑，盯着宋子安。 “口无遮拦！”大长老呵斥了句。 “老师！你醒了？”路胜两人赶紧走过去。 “醒了，接下来，还是我来吧，辛苦你了小胜，子安。”大长老轻轻吐了口气。
CH0225+CH0226,reversal,的刑罚，兵戈，以及传承的三位至强者。 这三人一般是由争夺掌兵使失败后的强者担任，而能够参与争夺掌兵使之位的人，哪一个不是顶尖高手，惊艳绝伦的世家天才？这些天才在神兵之力的延缓衰老下，最大的年纪甚至有数百岁。之后才是掌兵使。 这还只是苏家。”,crisis,着一股难以想象的巨大恐怖力量。 他吞了吞口水，缓缓抬起手，朝着面前的空气触摸过去。 手指食指很慢很慢的伸过去。 以他如今的肉身强度，就算是阴极态，也有蛇级层次，再加上内气覆盖激化，真正的威力，可以让普通蛇级连防御硬皮都打不破。更别说伤到他。
CH0227+CH0228,crisis,没想到光是百炼学派，就损失了九人？” “这就是你说的小小损失？”林北开目含煞意盯着他。 “这次计划，是打算全面的针对重点学派进行整合排除，能拉拢的拉拢，不能的取代合并，计划本就是开少爷计划的，虽然损失大了点，但不一直在少爷的容忍范围内吗？”,crisis,型。 路胜试着调动魔气，从上方灌入。 呼…… 就在此时，他自己也没注意到，周围身边，大量的毒雾之河河水狠狠一颤，一圈圈震荡般的波纹，以他为中心，朝着四面八方蔓延扩散开来。 一种幽深的，如同来自黑暗深处海潮的声音，从他体内的海螺中，传递出来。
CH0229+CH0230,reversal,二层，特效：魔身二级，阴魔意二级。” 其余所有极化强身，都聚合在了魔身上。而阴魔意，也将之前的魔意彻底覆盖吞噬。 路胜心念一动，之前那个人面蛇身的魔意也浮现出来，细细的呢喃声不断蔓延开。 人面长蛇和这颗魔意心脏，正好就是如今他的两个阴魔意。,crisis,方是个可交之人。但经过了那件事后，万和子和他，在那场考验中，都真正明白了路胜此人的本性。 在考验中，当时作为周围最强者，而被模拟作为守关者的路胜，给了他们无法想象的血一般的教训。 直到离开无限循环幻境，他们还是在心底留下了不可磨灭的后遗症。
CH0231+CH0232,reversal,子连忙给路胜和对方介绍身份。 “这位是我师弟路胜，也是我们元魔宗今年的参比人选。这位是和我们元魔宗一向交好的玉响门首席，陈云香。” “原来是路师弟。”陈云香朝路胜点点头，算是见礼。 路胜也起身回以微笑，然后和其余女子应付了下礼节，便又坐下。,reward,宗的路胜，北地来的蛮子，以为自己多厉害一样。这趟元魔宗我看要想站稳脚跟，怕是悬。”展红声嘟着嘴不满道，“我哥这么帮他，他还一点也不识相。元魔宗都破败成这样了，真不知道他哪来的自信。” “是吗？”方谭面色不变，但心头却是将路胜这个名字记下了。
CH0233+CH0234,question, “是不是感觉有些被孤立了。”荷香子对路胜苦笑了下。 “还好吧。”路胜笑了笑。 “除开朋友，没有学派想和我们结交，因为他们认为我们反正马上就会跌出百脉，结交不结交都无所谓。”荷香子苦笑道。 路胜也是无言。元魔宗落到这个地步，当真是凄冷无比。,reversal,一筹，也是普通人眼中高高在上的顶尖强者。 “如果连这样的级别都承受不了我释放出的人面蛇干扰，那么普通人，遇到这种混乱，又会达到什么效果？”路胜面色微微沉寂下来。因为他知道自己的这个人面蛇能力，不是只针对单一个体，而是可以大范围的随意释放……
CH0235+CH0236,reversal,，去睡吧，一切有我。”路胜连连催促，荷香子才无奈的只能去休息。 毕竟出来时，老师说过一切听路胜的。 只是……我不能什么都依靠师弟，我是师姐，就算起不到主导作用，也多少要为学派分担一些东西。 荷香子表面被劝服了去睡，实际上心里却暗自做了决定。,crisis,下吧。此地是镇压之地，不是你该来之处。”宿老淡淡道。 上阳飞从未有过想此刻这般，憎恶这些家族所谓的老不死的怪物。 “时代在变，天下在变，大宋……也在变，唯独你们……” 她面无表情，转身默默朝着出口走去。 或许，上阳家是需要一次彻底的变革了。
CH0237+CH0238,crisis,快，但频率极高。口中念念有词，身上开始有淡淡金光光点逸散而出。 四人身上的光点很快越来越多，越来越密，开始朝着路胜飞射而去。 这一招秘术，名叫飞鸣，乃是开阳学派小型配合阵法中最强的一招，同样的秘术，可以数名弟子一起使用，威力叠加，极其可怖。,reward,。 “你们一起上也行，可以省我不少时间。”那白发女子淡淡道。 “狂妄！” “孔雀山这是要和所有下三重学派为敌？” “舒师姐是否太狂了？” 一个个学派首席纷纷忍不住变色起身。 在场都是五大分区走出来的顶尖高手，数十人聚在一起，声势也颇为浩大。
CH0239+CH0240,reward,谷就和他们一个区。”陈云香点头道。 她和舒纤一个分区，第一时间就被那女人全部刷下来，毫无侥幸。 “估计是其他分区都被最强者打残了，他们刚好避开捡漏了吧？”展红声酸溜溜道。 “或许……开始了，路兄要动手了，他似乎是去的孔雀山。”展孔宁低声道。,reversal,，多几个人没影响。” 路胜看了眼此人。“不用了，我们自行安排就好。”他有自己的打算，自然不会贸然改变。 “你是不是觉得，舒纤碍于会盟百脉的规矩，就算针对你们，也不会有多严重。”方谭笑了笑，“天真……” 路胜眯了眯眼，感觉这方谭对他有些不善。
CH0241+CH0242,crisis,任何人封锁，你随时可以过来。”少年颇为遗憾道。 “好。”路胜也不把话说死。多个朋友多条路，何况对方是叶派。叶派一向秉持的是对世人，对凡人也不该滥杀无辜，法祭和血祭都是邪恶而不正统的发展方式。他们主张摆脱神兵魔刃，摆脱法祭血祭，努力强大自身。,reversal,“我也是元魔宗的一员，老师说这话就见外了。”路胜笑了笑。“不过，我倒是觉得，人太多，不利于我们隐藏行踪。” 六山子大长老沉吟了下。 “也对，如此，还是单独行动更好，我们人少，完全可以更快移动。” 他顿了顿，“那我们还是单独行动，方便隐蔽。”
CH0243+CH0244,crisis,间失去反抗之力的对手，这等程度，绝不是在场我们队伍里的任何一人能抗衡。我们必须尽快返回学派，否则除非是派主亲至，在场的我们，没有一个是杀人者对手！” “这么严重？会不会是春意岛主追踪凶手去了，所以行踪不明。”一个下三重学派的派主男子低沉问。,reversal,学派所在地和自己站立的位置分割开来。 他往左顺着银线望去，这线划出一个大圆，将整个这片区域全部包住。 线内线外，完全是两个世界一般。而他们，就站在圆内。 “这……到底是什么！！”方谭心头抽紧，原本对着展红声有的一些小心思，此时也彻底没了影。
CH0245+CH0246,crisis,来形势急转直下，路胜居然瞬间变身成这副恐怖形态。 她完全没弄明白到底发生了什么？ 路胜不是元魔宗新晋的弟子吗？虽然性格古怪，不合群，还一副不自量力的臭脾气，看着就讨厌。 但是……但是……这突然变成这幅模样……中间的跨度让展红声完全无法接受。,crisis,错，但可惜对上了他。 若是换成其他妖术类型的大妖魔，或许这个境界还能多耗一会儿，可面对两个只会硬碰硬的蟒妖。 路胜完全发挥了自己最强的长处，三下五除二就干掉了两者。 咦？ 忽然路胜一愣，看到地上一枚淡蓝的宝石戒指，正散发着浓烈的寄神力气息。
CH0247+CH0248,crisis,那边动静很大，有极强的圣兵辐射残留。 临走前，路胜提出去看看圣兵残留的痕迹，他很好奇真正的完整圣兵，到底有多强，虽然这御时斧只是个辅助圣兵。 六山子犹豫了下便同意了。 因为圣兵留下痕迹的那处，聚集了几乎所有队伍里的最强者，想必不会出什么事。,crisis,，他永远都不可能明白……” “你的意思是，少爷身边远不止你一人？”白女子皱眉问。 林环道笑了笑。“给我个痛快吧。林环道死于暗袭幻水宫一战，这样记下来也算不错，还可以把黑锅丢给幻水宫。” 黑女沉默了下。 “如你所愿。”她缓步走向地上的林环道。
CH0249+CH0250,crisis,环境作战，和持续战斗上，有显著提高。 其中毒火和混乱心智是增强群战能力；愈合和移动跳跃，还有身体吸收抗毒，是增强持续作战能力；至于嗅觉加强和五感略微提升，是提高追杀能力。 可以说这些能力对路胜来说了，虽然没有直接提高实力，但也让其更全面了。,crisis,了？” 毒雾之河蕴含的剧毒，就算是他也不敢太过靠近，一般平时吸收个几滴河水就算不错了。若是要走进最深处，去曾经学派祖师潜修的地方，就算是他也做不到。 所以如今他也只能猜测其中发生的变化。 “希望不要出什么大事……”六山子面色肃穆，心中祈祷。
CH0251+CH0252,crisis,张开双翅时，大量黄色粘液从翅膀上滴落下来，掉在地面，发出嘶嘶的腐蚀声。同时还伴随着一股难以形容的恶臭弥漫开来。 “厌恶之鹰……”路胜大概猜出了，这老鹰代表的自己什么杂质情绪。 就是之前受到他强烈的恶心情绪冲击，估计才导致这厌恶之鹰孵化出来。,crisis,黑毒火。 路胜想了想，伸手对着面前石壁一抓。 轰！！！ 一大团黑色毒火轰然炸开，石壁直接被炸出一个大洞。 “忿怒之狮的毒火，和赤极九煞功的威力比起来，还要强一截……不错。整体实力提升不少。这个听幽魔体极其适合群战，对各种环境的适应也很强。”
CH0253+CH0254,reversal,盆，最近学派的伙食因为他送上一份矿脉后，又变好了。吃喝方面也有了很大改善。 起码他一天三桶饭，九斤菜，十只鸡，一头猪的饭量得以保障了。 坐在饭堂里，路胜等着那弟子离开后，才拿起信打开。 是上阳九礼的亲笔，要他前往白铃城，在上次的酒楼里汇合。,crisis,力，实力六纹，而且年纪轻轻，未来极有可能踏入蛇级，这就是路胜的潜力。 也是爷爷他们看重的地方。 “小姐，坤云公子又送新鲜的枇杷过来了。”外面忽然又有侍女传话进来。 上阳若双眼一怔，随即喜笑颜开。 “他还记得啊……”她连忙起身，主动迎了出去。
CH0255+CH0256,reversal, 路胜大踏步走上石头，伸手握住刀。然后缓缓往上拔。 嘶…… 随着刀身缓缓往上移出，一阵细微的颤动开始从大石头下弥漫到整个房间。 “我……已经沉睡了……额又是你！！”那个低沉邪恶的声音顿时愤怒起来。明显认出了路胜。 “你又打算来戏耍本王？！”,crisis,，他这里，即将被作为前沿前线。 一般按照惯例，是两位魔灵先降临，建立血肉之门。 而两位掌兵使级别的魔灵降临，这股力量，正好可以屠灭整个姜宇城和附近包括百铃城在内的数座城池用来血祭，建立血肉之门。 突然袭击之下，就算是上阳家也不可能抵抗得了。
CH0257+CH0258,reversal,像，排成两排，正好形成一条通往大殿深处的道路。 黑烟迅速落地，凝聚成之前的黑衣人。 他抬头望向道路尽头，那里的地面正笔直倒插着一根长枪。一根极其普通，但古旧不堪的黑色长枪。 “这么多年，居然还有效力……”黑衣人脚步顿了顿，随即缓缓走向长枪。,crisis,速，这样的反应已经多久没有出线在他身上了？ “我如今的肉身强度，已经达到世家子弟也难以想象的恐怖地步，怎么还会出现这些问题？外界对我的影响应该可以忽略不计才对，或许是我内部激素分泌之类的出了问题。回头需要好好调息一下。”他心头闪过一丝疑惑。
CH0259+CH0260,crisis,，选在自己胸口正中，其实他选择在哪都无所谓，以他的火抗程度，虽然比不过专修火抗的怨火魔体，但也比十字炎阶段的当初那些祖师强多了。 所以这一阶段对他而言，只是过渡。轻轻松松就突破了。 很快，他到了距离开始修习怨火魔体最后的一步阶段。 秩凃决。,crisis,上下燃烧着黑色火焰，火焰中隐隐传出密密麻麻的人类痛哭声。 大量火焰不断从他身体甲壳缝隙涌出，仿佛他整个人从内部燃烧着。但因为恐怖的火抗和强大的精细操纵，导致他实际上并没有受到致命伤害。 反倒是在这样的燃烧状态下，疯狂的提高着肉身的火抗能力。
CH0261+CH0262,crisis,了。” 路胜跟着停下，左右看去，四面有些阴暗，刚好处于竹林的深处没灯笼照耀的地方。 琴声乐声也若有若无，不是很清晰。 “之前九礼大人给我提到您和上阳若小姐之事，为了补偿上次的失礼，家族决定对您开放会心缘里的一个特殊之地，红亭。”佩佩柔声道。,reversal,人浑身都在剧烈颤抖。 可王叔就像是中了邪，疯狂的对着一颗竹子乱打。路胜作为目标就在他身边，也视而不见。 “好了，我们走吧。”路胜摇摇头，他其实什么都没做，只是放出了一点点嫉妒之蛇的心智混乱力场，可没想到效果这么强。当然在这里他是不会说出口。
CH0263+CH0264,crisis,。 “老娘隐藏了这么久，可就是等的这个机会……”银子站起身冷笑，“一旦被我的冰印蛇缠住身体，就算你挣脱鞭子束缚，一身实力也会被下降到了一个难以忍受的程度。” 她握紧手里的鞭子，脸色凶恶起来。 “现在，给老娘去死！！”银子和孙梦同时冲向画师。,crisis,么快。身为画师头目队长的崔联军，居然连一招都没用得完，就败了。 路胜这等怪力，就算上阳九礼看过不少次，也依旧感觉不可思议。这一身怪力，也是上阳家对路胜另眼相看的关键原因之一。 就连上阳九礼也张大嘴，没想到路胜居然赢得这么快。对方可也是六纹。
CH0265+CH0266,reward,一个不认识还不中意的人，还不如自己主动选择，挑选自己能入眼的男方。 像路胜这般的优秀外家人，便进入了她的视线。在别人还在犹豫时，她断然第一个拜托佩佩引荐，正好九礼大小姐也在发愁怎么把路胜更牢固的绑在自己战车上。 顺水推舟下，便有了眼前一幕。,crisis,家的邀请宾客全部聚集在一起，由魔灵亲自出手抹杀。便算是完成任务。 到那时，周边所有的抵抗主力，都会彻底崩解。恶魔大军碾压之下，无人能抵抗。 血肉之门也能在人类高手赶到前，迅速建立完毕。 计划虽然简单，但讲求一个急速，只要够快，便不会有破绽。
CH0267+CH0268,reward,矩，怨火魔体则是形成怨火。荒芜魔体再来荒芜之火。三种魔体都共用的一种毒火核心，看看最后能发生什么变化。” 元魔力开始在他体内急速流转起来，很快形成一幅怪异而扭曲的几何图形。 而随着宝瓶气的迅速消耗，第一组合很轻松就成功了。 然后是第二组合。,crisis,… 高达数十米的巨大灯塔，缓缓颤动起来，整个灯塔从两侧伸出四条岩石手臂，撑住地面站起身。 这个巨大的灯塔，居然只是一个庞大如巨猿的恐怖怪物的头颅。 巨猿的下半身，其实就是被海浪不断击打的黑色山崖。它低吼一声，带着枯瘦黑影，转身朝着远处离去。
CH0269+CH0270,crisis,三徐吹，一起加入了元魔宗。 但这三人修习最基础三阴决，进度都慢得惊人，显然因为完全没有血脉，所以在这方面修行极其艰难。 三人好不容易有机会正式得到秘术修行，包括红坊白在内，没有一个敢松懈懈怠，每天除了吃喝睡就是苦修。其修行之刻苦，无人能及。,reversal,是微微一怔。 马上，她便看到路胜伸手从一旁的桌子一抓，咔嚓一声脆响下，桌子一条腿被他扳了下来。 “临时找不到什么好工具，就用这个吧，你将就点。”路胜握着桌子腿淡淡道。 展红声盯着有小儿手臂粗的桌子腿，喉头忍不住咕哝一声，总感觉心头有些发毛。
CH0271+CH0272,crisis,中看到过，有人因为运气好，意外得到神兵魔刃，从而一跃成为世家，也有人因为不识宝物，而被惹得家破人亡，明明自己已经有了世家血脉的底蕴，却不知如何运用，导致怀璧其罪，被灭族。 之前荷香子还和他闲聊时，提到过这趟收下的几个小孩子，就是这样的身世。,reversal,都如同沙漠中缺水的饥渴旅人一般，疯狂抢夺吞噬。 刚刚转化出一股元魔气，便马上被争抢殆尽。 “再来！”寄神力才消耗十个单位，路胜大喜之下继续提升。 他伸出手，一小团绿色火焰在他手心燃烧起来。这便是阴火，元魔宗所有秘术的根基，转化元魔气的关键。
CH0273+CH0274,reversal,一个不大不小的缓慢漩涡。 几条巨蛇胆怯的在外围游弋着，不时发出不安的低吼。自从上次被路胜活撕了一条同伴后，它们一看到路胜到来，便每次都躲得远远的。 原本它们以为路胜每次就喝点水就离开，却没想到这趟和有一次一样，居然喝水喝到湖水都开始下降了。,crisis,继续加入前面挖土的行列。 都说阴魔无法控制，路胜觉得那只是没找对方法。 石穴仿佛无穷无尽，路胜也不知道挖了多久，但以他的速度，起码有了数万米，石穴通道的水流也终于慢慢减少了，通道越来越空。 前面两侧石壁逐渐浮现赤红色微光，仿佛被烧红的烙铁。
CH0275+CH0276,crisis,的透明玻璃瓶。瓶子里用灰色的液体，浸泡着密密麻麻无以计数的，惨白的虫子一样的东西。 路胜眯了眯眼，试图看得更清楚一些。他挪动位置，尽量朝着瓶子方向移动。 哧！ 忽然一只眼睛遮住了他的视线。 一只苍白带着血丝的狰狞眼球，似乎也在透着缝隙看他。,crisis,么，能扛住这次就行。”蜥蜴无所谓道。 “冰狐王可不这么想。”雄鹿晃动着头顶长五六米的巨大鹿角，“三大圣门，已经开启了两道，还有最后一道，我们压不了多久，储备已经收集得差不多了，该选择丢到什么地方消化了。” “我会尽快挑选位置。”蜥蜴淡淡道。
